Name,Location Note,Email,Phone,City,ST,Acids,Asphalt,Chemicals (Dry),Chemicals (Liq),Foods (Dry),Foods (Liq),Frac Sand,Lumber,Minerals,Petroleum Products,Plastics (Dry),Steel,Air Compressor,Auger,Blending Meters,Blower,Bulk Conveyor,Gravity (Trestle),Hot Water Heating,Liquid Pumps,Liquid Storage Tanks,Portable Vacuum,Sampling Services,Scale,Steam Heating,Tank Trailer Cleaning,Railcar Storage,Website,Website Flag,Tier,Source,Maps Status,Confidence
Madison Transload Terminal,,,,MADISON,WI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.watco.com/service/terminals/madison-wi/,,listed,rebulk-directory (WSOR BNSF CN CPKC + 3),,
Maidsville NS TBT,,,,MAIDSVILLE,WV,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.nscorp.com,,listed,rebulk-directory (NS),,
Maiers Transport & Warehousing,,,,SAINT CLOUD,MN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.mtwstcloud.com/,,listed,rebulk-directory (BNSF);bnsf-premier-flipbook,,
Maine International Cold Storage Facility,,,,PORTLAND,ME,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://coldstoragemaine.com/,,listed,rebulk-directory (CSX),,
Mallory Alexander International,,,,MEMPHIS,TN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.mallorygroup.com/warehousing-services-in-memphis-tn-excellence-in-logistics-and-customized-solutions/,,listed,rebulk-directory (BNSF);bnsf-premier-flipbook,,
Manfredi Cold Storage,,,,TOUGHKENAMON,PA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.manfredicoldstorage.com/,,listed,rebulk-directory (ESPN NS),,
Manly Terminal,,,,MANLY,IA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.manlyterminal.com/,,listed,rebulk-directory (CN),,
Mansfield Railport,,,,MANSFIELD,OH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.mansfieldrailport.com,,listed,rebulk-directory (ASRY NS),,
Maple Transport Rail-Served Warehouse,,,,KINCHELOE,MI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://maple-hardwoods.com/,,listed,rebulk-directory (CN),,
Marion Industrial Rail Park,Jaguar Transport Holdings,,,MARION,OH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://jag-transport.com/marion-industrial-rail-park/,,listed,rebulk-directory (CSX Jaguar Trans),,
Market Street Marine Terminal,,,,PORTSMOUTH,NH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://portofnh.org/market-street-terminal/,,listed,rebulk-directory (CSX),,
Martinsburg Transload Facility,,,,MARTINSBURG,PA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://everettrailroad.com/freight-info/,,listed,rebulk-directory (EV NS),,
Martin’s Feed Inc.,,,,SUMAS,WA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://martinsfeedinc.com/,,listed,rebulk-directory (BNSF Railway),,
Martts Inc,,wusher@ushertransport.com,(502) 774-1977,LOUISVILLE,KY,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,unknown,https://www.ushertransport.com/services/,,verified,swl-internal,OPERATIONAL,high
Maryland Transload Logistics,,,,THURMONT,MD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,,,listed,rebulk-directory (G&W MMID),,
Matco Industries Inc,,rpafford@matco-industries.com,(954) 946-5567,COCOA,FL,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.matco-industries.com/,,verified,swl-internal,OPERATIONAL,high
Matco Industries Inc,,rpafford@matco-industries.com,(954) 946-5567,HASTINGS,FL,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.matco-industries.com/,,verified,swl-internal,OPERATIONAL,high
Matco Industries Inc,,rpafford@matco-industries.com,(954) 946-5567,LIVE OAK,FL,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.matco-industries.com/,,verified,swl-internal,OPERATIONAL,high
Matco Industries Inc,,rpafford@matco-industries.com,(954) 946-5567,POMPANO BEACH,FL,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.matco-industries.com/,,verified,swl-internal,OPERATIONAL,high
Matco Industries Inc,,rpafford@matco-industries.com,,RIVIERA BEACH,FL,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.matco-industries.com/,,verified,swl-internal,OPERATIONAL,high
Matco Riviera Beach Reload,,,,RIVIERA BEACH,FL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.matco-industries.com/,,listed,rebulk-directory (Florida East Coast Railway (FEC)),,
Material Translogistics Inc.,MTI,,,RACELAND,LA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,,,listed,rebulk-directory (G&W LDRR),,
Material Transport Trucking & Storage,,brendan.page@materialtransport.com,,FORT WORTH,TX,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,https://materialtransport.com/,,verified,swl-internal,NOT_FOUND,low
Mayor’s Point Terminal,,,,BRUNSWICK,GA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://gaports.com/cargo/breakbulk/,,listed,rebulk-directory (CSX NS),,
Maysville Rail Port,,,,MAYSVILLE,KY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://mbrail.com/mb-rail-to-open-multimodal-port/,,listed,rebulk-directory (CSX TTIS),,
Mccoy Mc Reload,,,,BURNET,TX,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.mcreload.com/,,listed,rebulk-directory (BNSF),,
McDonald Farms Enterprises,Franklin Street Terminal,,,DENVER,CO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://mcdonaldfarmsinc.com/,,listed,rebulk-directory (Denver Rock Island Railroad (DRIR) BNSF UP),,
McDuffie Coal Terminal,,,,MOBILE,AL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://alports.com/facilities/coal/,,listed,rebulk-directory (Terminal Railway Alabama State Docks (TASD)),,
McKees Rocks Industrial Enterprises,,,,MCKEES ROCKS,PA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.e-mrie.com/,,listed,rebulk-directory (G&W POHC),,
McLendon Enterprises,,,,ELLABELL,GA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.mclendonenterprises.com/,,listed,rebulk-directory (G&W GC),,
McPherson Oil,,,,ATLANTA,GA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.mcphersonoil.com,,listed,rebulk-directory (NS),,
Meador Warehousing & Distribution,,,,MOBILE,AL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://meadorwarehouse.com/,,listed,rebulk-directory (AGR G&W),,
Medford Team Track,,,,MEDFORD,NY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.anacostia.com/our-companies/nya/,,listed,rebulk-directory (New York & Atlantic Railway (NYA)),,
Medina 3T Transload,,,,MEDINA,NY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.gvtrail.com/region/western-new-york/,,listed,rebulk-directory (Falls Road Railroad (FRR)),,
Meherrin Fertilizer,,,,CLAXTON,GA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://meherrinfertilizer.com/,,listed,rebulk-directory (G&W GC),,
"Merchants Transloading, Warehoue, Distribution Services",,randyw@merchantsdsm.com,(515) 244-2123,ALTOONA,IA,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,unknown,http://www.merchantsdsm.com/,,verified,swl-internal,OPERATIONAL,medium
"Merchants Transloading, Warehoue, Distribution Services",,randyw@merchantsdsm.com,(515) 244-2123,DES MOINES,IA,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,unknown,http://www.merchantsdsm.com/,,verified,swl-internal,OPERATIONAL,medium
Metro Group,,danfloyd@metrogroup.com,,BATTLE MOUNTAIN,NV,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,https://www.metrogroup.com/metro-recycling-services/transloading/,,verified,swl-internal,NOT_FOUND,low
Metro Group,,danfloyd@metrogroup.com,(801) 590-4540,SALT LAKE CITY,UT,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://metrogroup.com/,,verified,swl-internal,OPERATIONAL,high
Metro Metals Corporation,,,,EAST PITTSBURGH,PA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,,,listed,rebulk-directory (NS URR),,
Metro Park Warehouses,,swedlen@metroparkwarhouses.com,(913) 621-3116,KANSAS CITY,KS,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,https://metroparkwarehouses.com/,,verified,swl-internal,OPERATIONAL,high
Metro Park Warehouses,,swedlen@metroparkwarhouses.com,(816) 221-4546,NORTH KANSAS CITY,MO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,https://metroparkwarehouses.com/,,verified,swl-internal,OPERATIONAL,high
Metro Ports Pier G Bulk Terminal,,,,LONG BEACH,CA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.metroports.com/,,listed,rebulk-directory (PHL BNSF UP),,
Metro West Transload,,keith@metrowesttransload.com,(817) 396-4549,CRESSON,TX,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.metrowesttransload.com/,,verified,swl-internal,OPERATIONAL,high
MHF Inc.,,,,BUTLER,PA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.mhf.com,,listed,rebulk-directory (BPRR NS),,
Mhx LLC,,sales@mhx.solutions,,CUCAMONGA,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,https://mhx.solutions/locations/,,verified,swl-internal,NOT_FOUND,low
Mhx LLC,,sales@mhx.solutions,(909) 371-1939,FONTANA,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.mhx.solutions/,,verified,swl-internal,OPERATIONAL,high
Mhx LLC,,sales@mhx.solutions,(800) 825-1205,HELENDALE,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,https://mhx.solutions/,,verified,swl-internal,OPERATIONAL,high
Mhx LLC,,sales@mhx.solutions,,LONG BEACH,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,https://mhx.solutions/locations/,,verified,swl-internal,NOT_FOUND,low
Mhx LLC,,sales@mhx.solutions,,SOUTH FONTANA,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,https://mhx.solutions/locations/,,verified,swl-internal,NOT_FOUND,none
Mhx LLC,,sales@mhx.solutions,(800) 234-2098,STOCKTON,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://mhx.solutions/,,verified,swl-internal,OPERATIONAL,high
Mhx LLC,,sales@mhx.solutions,(800) 234-2098,VERNON,CA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://mhx.solutions/,,verified,swl-internal,OPERATIONAL,high
Miami NS TBT,,,,MIAMI,FL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.nscorp.com,,listed,rebulk-directory (FEC NS),,
Michigan Agricultural Commodities,,,,MIDDLETON,MI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.michag.com/contact/middleton/,,listed,rebulk-directory (Great Lakes Central Railroad (GLC)),,
Michigan Marine Terminal,,,,RIVER ROUGE,MI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.mmtandff.com/,,listed,rebulk-directory (CSX NS),,
Michigan Rail and Storage,,,,COMSTOCK PARK,MI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,,,listed,rebulk-directory (G&W MQT),,
Michigan Terminals / Wyoming Industrial,,,,WYOMING,MI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://mtwi-michigan.com/,,listed,rebulk-directory (CSX),,
Michigan Timber & Truss Rail Reload,,,,FLINT,MI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://mitimber.com/,,listed,rebulk-directory (CN),,
